20200403 10:04:09 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:User_DB_DAL][Function:		public Common.Model.User_DB_Model GetModel()TableName:User_DB][]
20200403 10:04:09 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:04:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:04:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:04:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:05:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:05:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:05:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:06:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:06:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:06:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:07:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:07:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:07:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:08:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:08:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:08:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:09:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:09:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:09:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:10:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:10:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:10:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:11:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:11:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:11:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:12:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:12:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:12:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:13:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:13:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:13:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:14:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:14:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:14:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:15:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:15:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:15:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:16:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:16:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:16:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:17:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:17:41 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:17:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:18:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:18:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:18:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:19:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:19:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:19:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:20:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:20:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:20:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:21:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:21:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:21:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:22:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:22:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:22:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:23:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:23:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:23:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:24:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:24:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:24:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:25:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:25:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:25:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:26:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:26:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:26:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:27:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:27:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:27:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:28:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:28:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:28:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:29:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200403 10:29:42 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
